Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	1.95495303E+01	
2.50000000E+00	1.93385620E+01	
5.00000000E+00	1.86907616E+01	
7.50000000E+00	1.75655273E+01	
1.00000000E+01	1.58886013E+01	
1.25000000E+01	1.35373985E+01	
1.50000000E+01	1.03089133E+01	
1.75000000E+01	5.86113002E+00	
2.00000000E+01	-1.72317740E-01	
2.25000000E+01	-4.91775069E+00	
2.50000000E+01	-3.88762734E+00	
2.75000000E+01	-3.36790465E+00	
3.00000000E+01	-3.40630732E+00	
3.25000000E+01	-1.70921837E+00	
3.50000000E+01	9.81387656E-01	
3.75000000E+01	3.07971902E+00	
4.00000000E+01	4.27901320E+00	
4.25000000E+01	4.65339203E+00	
4.50000000E+01	4.29376454E+00	
4.75000000E+01	3.24943205E+00	
5.00000000E+01	1.52021784E+00	
5.25000000E+01	-9.47799553E-01	
5.50000000E+01	-4.23893041E+00	
5.75000000E+01	-8.14203027E+00	
6.00000000E+01	-1.05213178E+01	
6.25000000E+01	-9.32132448E+00	
6.50000000E+01	-7.44769303E+00	
6.75000000E+01	-6.20175651E+00	
7.00000000E+01	-5.55474982E+00	
7.25000000E+01	-5.34750407E+00	
7.50000000E+01	-5.45581964E+00	
7.75000000E+01	-5.79135241E+00	
8.00000000E+01	-6.29038169E+00	
8.25000000E+01	-6.90592389E+00	
8.50000000E+01	-7.60314367E+00	
8.75000000E+01	-8.35689576E+00	
9.00000000E+01	-9.15049590E+00	
9.25000000E+01	-9.97497692E+00	
9.50000000E+01	-1.08280965E+01	
9.75000000E+01	-1.17123696E+01	
1.00000000E+02	-1.26315316E+01	
1.02500000E+02	-1.35851859E+01	
1.05000000E+02	-1.45621529E+01	
1.07500000E+02	-1.55346050E+01	
1.10000000E+02	-1.64575127E+01	
1.12500000E+02	-1.72788518E+01	
1.15000000E+02	-1.79599436E+01	
1.17500000E+02	-1.84932001E+01	
1.20000000E+02	-1.89041961E+01	
1.22500000E+02	-1.92444933E+01	
1.25000000E+02	-1.95910320E+01	
1.27500000E+02	-2.00478387E+01	
1.30000000E+02	-2.07251944E+01	
1.32500000E+02	-2.16692656E+01	
1.35000000E+02	-2.27196121E+01	
1.37500000E+02	-2.34140732E+01	
1.40000000E+02	-2.34456760E+01	
1.42500000E+02	-2.32768909E+01	
1.45000000E+02	-2.36219571E+01	
1.47500000E+02	-2.48051067E+01	
1.50000000E+02	-2.62905466E+01	
1.52500000E+02	-2.63879541E+01	
1.55000000E+02	-2.53133954E+01	
1.57500000E+02	-2.50596786E+01	
1.60000000E+02	-2.66527077E+01	
1.62500000E+02	-3.01290382E+01	
1.65000000E+02	-2.93800247E+01	
1.67500000E+02	-2.50204596E+01	
1.70000000E+02	-2.24467056E+01	
1.72500000E+02	-2.14046325E+01	
1.75000000E+02	-2.13079293E+01	
1.77500000E+02	-2.15997099E+01	
1.80000000E+02	-2.17698463E+01	
