Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	1.56496633E+01	
2.50000000E+00	1.54131117E+01	
5.00000000E+00	1.46917839E+01	
7.50000000E+00	1.34466594E+01	
1.00000000E+01	1.15991225E+01	
1.25000000E+01	9.00361775E+00	
1.50000000E+01	5.40643062E+00	
1.75000000E+01	6.49918209E-01	
2.00000000E+01	-2.17818375E+00	
2.25000000E+01	5.88029077E-01	
2.50000000E+01	3.33201381E+00	
2.75000000E+01	5.05342460E+00	
3.00000000E+01	6.10300962E+00	
3.25000000E+01	6.74193722E+00	
3.50000000E+01	7.11923080E+00	
3.75000000E+01	7.30932548E+00	
4.00000000E+01	7.34033004E+00	
4.25000000E+01	7.21630245E+00	
4.50000000E+01	6.93325295E+00	
4.75000000E+01	6.48836227E+00	
5.00000000E+01	5.88394307E+00	
5.25000000E+01	5.12847706E+00	
5.50000000E+01	4.23652977E+00	
5.75000000E+01	3.22846919E+00	
6.00000000E+01	2.13021661E+00	
6.25000000E+01	9.72782399E-01	
6.50000000E+01	-2.08963213E-01	
6.75000000E+01	-1.37888737E+00	
7.00000000E+01	-2.50374539E+00	
7.25000000E+01	-3.55809663E+00	
7.50000000E+01	-4.52817453E+00	
7.75000000E+01	-5.41286093E+00	
8.00000000E+01	-6.22130805E+00	
8.25000000E+01	-6.96854737E+00	
8.50000000E+01	-7.67112867E+00	
8.75000000E+01	-8.34417248E+00	
9.00000000E+01	-9.00011736E+00	
9.25000000E+01	-9.64872865E+00	
9.50000000E+01	-1.02977466E+01	
9.75000000E+01	-1.09536389E+01	
1.00000000E+02	-1.16220493E+01	
1.02500000E+02	-1.23076153E+01	
1.05000000E+02	-1.30128862E+01	
1.07500000E+02	-1.37362195E+01	
1.10000000E+02	-1.44689622E+01	
1.12500000E+02	-1.51931883E+01	
1.15000000E+02	-1.58827566E+01	
1.17500000E+02	-1.65111868E+01	
1.20000000E+02	-1.70667565E+01	
1.22500000E+02	-1.75671749E+01	
1.25000000E+02	-1.80607676E+01	
1.27500000E+02	-1.86075897E+01	
1.30000000E+02	-1.92449529E+01	
1.32500000E+02	-1.99450206E+01	
1.35000000E+02	-2.05827142E+01	
1.37500000E+02	-2.09777943E+01	
1.40000000E+02	-2.10658837E+01	
1.42500000E+02	-2.10290350E+01	
1.45000000E+02	-2.11888019E+01	
1.47500000E+02	-2.18417316E+01	
1.50000000E+02	-2.31921457E+01	
1.52500000E+02	-2.51840510E+01	
1.55000000E+02	-2.67044364E+01	
1.57500000E+02	-2.58882008E+01	
1.60000000E+02	-2.40022092E+01	
1.62500000E+02	-2.27738039E+01	
1.65000000E+02	-2.26354743E+01	
1.67500000E+02	-2.37218440E+01	
1.70000000E+02	-2.62679959E+01	
1.72500000E+02	-3.06131185E+01	
1.75000000E+02	-3.45568094E+01	
1.77500000E+02	-3.26857076E+01	
1.80000000E+02	-3.13971902E+01	
