Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.44356519E+01	
2.50000000E+00	2.36327108E+01	
5.00000000E+00	2.10842341E+01	
7.50000000E+00	1.61594740E+01	
1.00000000E+01	6.48278249E+00	
1.25000000E+01	2.95532036E+00	
1.50000000E+01	7.40241516E+00	
1.75000000E+01	6.21742910E+00	
2.00000000E+01	1.21401253E+00	
2.25000000E+01	-5.17144293E+00	
2.50000000E+01	-1.97189705E+00	
2.75000000E+01	2.84340059E-02	
3.00000000E+01	4.16878096E-01	
3.25000000E+01	4.54013940E-01	
3.50000000E+01	5.54379320E-01	
3.75000000E+01	5.20982849E-01	
4.00000000E+01	1.25218409E-01	
4.25000000E+01	-4.46002175E-01	
4.50000000E+01	-5.02425867E-01	
4.75000000E+01	2.51415670E-01	
5.00000000E+01	1.14229432E+00	
5.25000000E+01	1.53147787E+00	
5.50000000E+01	1.19183281E+00	
5.75000000E+01	1.01365415E-01	
6.00000000E+01	-1.65171839E+00	
6.25000000E+01	-3.74916796E+00	
6.50000000E+01	-5.35614941E+00	
6.75000000E+01	-5.59849635E+00	
7.00000000E+01	-4.90181808E+00	
7.25000000E+01	-4.14852374E+00	
7.50000000E+01	-3.69736183E+00	
7.75000000E+01	-3.59239457E+00	
8.00000000E+01	-3.79118050E+00	
8.25000000E+01	-4.23780937E+00	
8.50000000E+01	-4.87871913E+00	
8.75000000E+01	-5.66402538E+00	
9.00000000E+01	-6.54749310E+00	
9.25000000E+01	-7.48924881E+00	
9.50000000E+01	-8.46098865E+00	
9.75000000E+01	-9.44936846E+00	
1.00000000E+02	-1.04513728E+01	
1.02500000E+02	-1.14592957E+01	
1.05000000E+02	-1.24425253E+01	
1.07500000E+02	-1.33446764E+01	
1.10000000E+02	-1.41153939E+01	
1.12500000E+02	-1.47621595E+01	
1.15000000E+02	-1.53623801E+01	
1.17500000E+02	-1.60113190E+01	
1.20000000E+02	-1.67625717E+01	
1.22500000E+02	-1.76152748E+01	
1.25000000E+02	-1.85370015E+01	
1.27500000E+02	-1.94763658E+01	
1.30000000E+02	-2.03919606E+01	
1.32500000E+02	-2.13807740E+01	
1.35000000E+02	-2.26726987E+01	
1.37500000E+02	-2.39538193E+01	
1.40000000E+02	-2.38315060E+01	
1.42500000E+02	-2.27906138E+01	
1.45000000E+02	-2.28230902E+01	
1.47500000E+02	-2.44024753E+01	
1.50000000E+02	-2.55565194E+01	
1.52500000E+02	-2.52767807E+01	
1.55000000E+02	-2.72988342E+01	
1.57500000E+02	-3.29167788E+01	
1.60000000E+02	-2.80283412E+01	
1.62500000E+02	-2.63172703E+01	
1.65000000E+02	-3.09451781E+01	
1.67500000E+02	-2.83704258E+01	
1.70000000E+02	-2.45976218E+01	
1.72500000E+02	-2.71945517E+01	
1.75000000E+02	-2.24825970E+01	
1.77500000E+02	-1.65158455E+01	
1.80000000E+02	-1.48188489E+01	
