Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.07589382E+01	
2.50000000E+00	2.03153483E+01	
5.00000000E+00	1.89397125E+01	
7.50000000E+00	1.64534386E+01	
1.00000000E+01	1.24010792E+01	
1.25000000E+01	5.55413855E+00	
1.50000000E+01	-3.01455384E-01	
1.75000000E+01	5.50592211E+00	
2.00000000E+01	7.93604727E+00	
2.25000000E+01	8.26023789E+00	
2.50000000E+01	7.32121213E+00	
2.75000000E+01	5.58486403E+00	
3.00000000E+01	3.48909451E+00	
3.25000000E+01	1.36387892E+00	
3.50000000E+01	-9.21735636E-01	
3.75000000E+01	-3.71349823E+00	
4.00000000E+01	-5.37747061E+00	
4.25000000E+01	-2.84735202E+00	
4.50000000E+01	4.14347534E-01	
4.75000000E+01	2.68529176E+00	
5.00000000E+01	4.04760383E+00	
5.25000000E+01	4.71108558E+00	
5.50000000E+01	4.83154995E+00	
5.75000000E+01	4.52067260E+00	
6.00000000E+01	3.86238661E+00	
6.25000000E+01	2.92291238E+00	
6.50000000E+01	1.75623448E+00	
6.75000000E+01	4.07077941E-01	
7.00000000E+01	-1.08717504E+00	
7.25000000E+01	-2.69463644E+00	
7.50000000E+01	-4.38657801E+00	
7.75000000E+01	-6.13460026E+00	
8.00000000E+01	-7.90792529E+00	
8.25000000E+01	-9.67201384E+00	
8.50000000E+01	-1.13898841E+01	
8.75000000E+01	-1.30266520E+01	
9.00000000E+01	-1.45556532E+01	
9.25000000E+01	-1.59625126E+01	
9.50000000E+01	-1.72445616E+01	
9.75000000E+01	-1.84072734E+01	
1.00000000E+02	-1.94621448E+01	
1.02500000E+02	-2.04271034E+01	
1.05000000E+02	-2.13233394E+01	
1.07500000E+02	-2.21599650E+01	
1.10000000E+02	-2.29079656E+01	
1.12500000E+02	-2.34902435E+01	
1.15000000E+02	-2.38363899E+01	
1.17500000E+02	-2.39931373E+01	
1.20000000E+02	-2.41597557E+01	
1.22500000E+02	-2.45867941E+01	
1.25000000E+02	-2.54358649E+01	
1.27500000E+02	-2.66039291E+01	
1.30000000E+02	-2.74818883E+01	
1.32500000E+02	-2.73945339E+01	
1.35000000E+02	-2.68122889E+01	
1.37500000E+02	-2.66742914E+01	
1.40000000E+02	-2.73853016E+01	
1.42500000E+02	-2.87253465E+01	
1.45000000E+02	-2.97876760E+01	
1.47500000E+02	-3.00785601E+01	
1.50000000E+02	-3.05447731E+01	
1.52500000E+02	-3.17661822E+01	
1.55000000E+02	-3.26606559E+01	
1.57500000E+02	-3.23110156E+01	
1.60000000E+02	-3.24964553E+01	
1.62500000E+02	-3.37236460E+01	
1.65000000E+02	-3.16743521E+01	
1.67500000E+02	-2.74546151E+01	
1.70000000E+02	-2.46219410E+01	
1.72500000E+02	-2.31807990E+01	
1.75000000E+02	-2.26452369E+01	
1.77500000E+02	-2.25455366E+01	
1.80000000E+02	-2.25411804E+01	
