Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.69223985E+01	
2.50000000E+00	2.56066723E+01	
5.00000000E+00	2.13076933E+01	
7.50000000E+00	1.31195074E+01	
1.00000000E+01	1.02843329E+01	
1.25000000E+01	1.00749317E+01	
1.50000000E+01	3.83067080E+00	
1.75000000E+01	-1.31284664E+00	
2.00000000E+01	-1.86357846E+00	
2.25000000E+01	-4.01944626E+00	
2.50000000E+01	2.87647921E+00	
2.75000000E+01	4.12933823E+00	
3.00000000E+01	1.06360489E+00	
3.25000000E+01	-7.71716781E+00	
3.50000000E+01	-1.65668318E+01	
3.75000000E+01	-1.17778356E+01	
4.00000000E+01	-1.86177030E+01	
4.25000000E+01	-1.48688229E+01	
4.50000000E+01	-9.23625967E+00	
4.75000000E+01	-7.62838898E+00	
5.00000000E+01	-6.94489651E+00	
5.25000000E+01	-5.79117590E+00	
5.50000000E+01	-4.62245935E+00	
5.75000000E+01	-4.18209653E+00	
6.00000000E+01	-4.70682543E+00	
6.25000000E+01	-6.18706896E+00	
6.50000000E+01	-8.40545917E+00	
6.75000000E+01	-1.04728597E+01	
7.00000000E+01	-1.08300506E+01	
7.25000000E+01	-9.78932388E+00	
7.50000000E+01	-8.74683841E+00	
7.75000000E+01	-8.17135793E+00	
8.00000000E+01	-8.05140697E+00	
8.25000000E+01	-8.28343216E+00	
8.50000000E+01	-8.76964421E+00	
8.75000000E+01	-9.43977420E+00	
9.00000000E+01	-1.02518219E+01	
9.25000000E+01	-1.11774838E+01	
9.50000000E+01	-1.21770708E+01	
9.75000000E+01	-1.31820967E+01	
1.00000000E+02	-1.41136382E+01	
1.02500000E+02	-1.49407732E+01	
1.05000000E+02	-1.57183889E+01	
1.07500000E+02	-1.65427818E+01	
1.10000000E+02	-1.74644338E+01	
1.12500000E+02	-1.84394164E+01	
1.15000000E+02	-1.93723889E+01	
1.17500000E+02	-2.02598243E+01	
1.20000000E+02	-2.12760944E+01	
1.22500000E+02	-2.25596566E+01	
1.25000000E+02	-2.37673288E+01	
1.27500000E+02	-2.43010367E+01	
1.30000000E+02	-2.45470342E+01	
1.32500000E+02	-2.49956081E+01	
1.35000000E+02	-2.51714602E+01	
1.37500000E+02	-2.56144187E+01	
1.40000000E+02	-2.79106953E+01	
1.42500000E+02	-3.05106497E+01	
1.45000000E+02	-2.89703318E+01	
1.47500000E+02	-2.83847223E+01	
1.50000000E+02	-2.81417806E+01	
1.52500000E+02	-2.82792153E+01	
1.55000000E+02	-3.27041936E+01	
1.57500000E+02	-3.71085571E+01	
1.60000000E+02	-3.73188072E+01	
1.62500000E+02	-3.39955123E+01	
1.65000000E+02	-2.82187561E+01	
1.67500000E+02	-3.18989288E+01	
1.70000000E+02	-3.50898185E+01	
1.72500000E+02	-3.69512914E+01	
1.75000000E+02	-2.36743193E+01	
1.77500000E+02	-1.52831654E+01	
1.80000000E+02	-1.30483350E+01	
