Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	1.58370212E+01	
2.50000000E+00	1.55509001E+01	
5.00000000E+00	1.46908516E+01	
7.50000000E+00	1.32661767E+01	
1.00000000E+01	1.13301657E+01	
1.25000000E+01	9.07265706E+00	
1.50000000E+01	6.95250037E+00	
1.75000000E+01	5.52889868E+00	
2.00000000E+01	4.79468191E+00	
2.25000000E+01	4.23438871E+00	
2.50000000E+01	3.53697847E+00	
2.75000000E+01	2.80972911E+00	
3.00000000E+01	2.46007571E+00	
3.25000000E+01	2.80684930E+00	
3.50000000E+01	3.69079884E+00	
3.75000000E+01	4.71612589E+00	
4.00000000E+01	5.61458361E+00	
4.25000000E+01	6.27681015E+00	
4.50000000E+01	6.67424944E+00	
4.75000000E+01	6.80980823E+00	
5.00000000E+01	6.69792622E+00	
5.25000000E+01	6.35770655E+00	
5.50000000E+01	5.81067929E+00	
5.75000000E+01	5.08003668E+00	
6.00000000E+01	4.19028139E+00	
6.25000000E+01	3.16693120E+00	
6.50000000E+01	2.03613007E+00	
6.75000000E+01	8.24078319E-01	
7.00000000E+01	-4.43760926E-01	
7.25000000E+01	-1.74365382E+00	
7.50000000E+01	-3.05466973E+00	
7.75000000E+01	-4.35963460E+00	
8.00000000E+01	-5.64572678E+00	
8.25000000E+01	-6.90452591E+00	
8.50000000E+01	-8.13144598E+00	
8.75000000E+01	-9.32462899E+00	
9.00000000E+01	-1.04834952E+01	
9.25000000E+01	-1.16072250E+01	
9.50000000E+01	-1.26935040E+01	
9.75000000E+01	-1.37379080E+01	
1.00000000E+02	-1.47342815E+01	
1.02500000E+02	-1.56762627E+01	
1.05000000E+02	-1.65596578E+01	
1.07500000E+02	-1.73848937E+01	
1.10000000E+02	-1.81587876E+01	
1.12500000E+02	-1.88956418E+01	
1.15000000E+02	-1.96184847E+01	
1.17500000E+02	-2.03606443E+01	
1.20000000E+02	-2.11649747E+01	
1.22500000E+02	-2.20738808E+01	
1.25000000E+02	-2.30992418E+01	
1.27500000E+02	-2.41628132E+01	
1.30000000E+02	-2.50405981E+01	
1.32500000E+02	-2.54726913E+01	
1.35000000E+02	-2.54948784E+01	
1.37500000E+02	-2.54917937E+01	
1.40000000E+02	-2.58480430E+01	
1.42500000E+02	-2.66896595E+01	
1.45000000E+02	-2.77011880E+01	
1.47500000E+02	-2.81485448E+01	
1.50000000E+02	-2.79395293E+01	
1.52500000E+02	-2.80652740E+01	
1.55000000E+02	-2.95614288E+01	
1.57500000E+02	-3.34841609E+01	
1.60000000E+02	-3.81809224E+01	
1.62500000E+02	-3.32698903E+01	
1.65000000E+02	-3.02939943E+01	
1.67500000E+02	-3.06988778E+01	
1.70000000E+02	-3.59164466E+01	
1.72500000E+02	-4.21840465E+01	
1.75000000E+02	-2.99952628E+01	
1.77500000E+02	-2.58929127E+01	
1.80000000E+02	-2.47014799E+01	
