Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.22832690E+01	
2.50000000E+00	2.17825210E+01	
5.00000000E+00	2.02223322E+01	
7.50000000E+00	1.73634362E+01	
1.00000000E+01	1.25346950E+01	
1.25000000E+01	3.41838533E+00	
1.50000000E+01	1.84098545E+00	
1.75000000E+01	7.59774877E+00	
2.00000000E+01	9.02028282E+00	
2.25000000E+01	8.36160801E+00	
2.50000000E+01	6.26407058E+00	
2.75000000E+01	3.06200411E+00	
3.00000000E+01	-6.15966186E-01	
3.25000000E+01	-3.21192759E+00	
3.50000000E+01	-3.27572304E+00	
3.75000000E+01	-1.49276979E+00	
4.00000000E+01	6.56431003E-01	
4.25000000E+01	2.33220816E+00	
4.50000000E+01	3.29188347E+00	
4.75000000E+01	3.52571421E+00	
5.00000000E+01	3.07534368E+00	
5.25000000E+01	1.97315760E+00	
5.50000000E+01	2.19850708E-01	
5.75000000E+01	-2.23425738E+00	
6.00000000E+01	-5.51923309E+00	
6.25000000E+01	-9.86499385E+00	
6.50000000E+01	-1.50337859E+01	
6.75000000E+01	-1.65831103E+01	
7.00000000E+01	-1.40448323E+01	
7.25000000E+01	-1.21143370E+01	
7.50000000E+01	-1.11005826E+01	
7.75000000E+01	-1.07036559E+01	
8.00000000E+01	-1.07168432E+01	
8.25000000E+01	-1.10122458E+01	
8.50000000E+01	-1.15075228E+01	
8.75000000E+01	-1.21465028E+01	
9.00000000E+01	-1.28880793E+01	
9.25000000E+01	-1.36996364E+01	
9.50000000E+01	-1.45533863E+01	
9.75000000E+01	-1.54246062E+01	
1.00000000E+02	-1.62903630E+01	
1.02500000E+02	-1.71272353E+01	
1.05000000E+02	-1.79087919E+01	
1.07500000E+02	-1.86084448E+01	
1.10000000E+02	-1.92148457E+01	
1.12500000E+02	-1.97552698E+01	
1.15000000E+02	-2.03035711E+01	
1.17500000E+02	-2.09522181E+01	
1.20000000E+02	-2.17538262E+01	
1.22500000E+02	-2.26552062E+01	
1.25000000E+02	-2.34816538E+01	
1.27500000E+02	-2.40867974E+01	
1.30000000E+02	-2.45893128E+01	
1.32500000E+02	-2.53124789E+01	
1.35000000E+02	-2.64289728E+01	
1.37500000E+02	-2.75346338E+01	
1.40000000E+02	-2.76633270E+01	
1.42500000E+02	-2.68958810E+01	
1.45000000E+02	-2.63862901E+01	
1.47500000E+02	-2.67183956E+01	
1.50000000E+02	-2.76352642E+01	
1.52500000E+02	-2.81888422E+01	
1.55000000E+02	-2.82392305E+01	
1.57500000E+02	-2.88693848E+01	
1.60000000E+02	-2.93530195E+01	
1.62500000E+02	-2.72046893E+01	
1.65000000E+02	-2.52351828E+01	
1.67500000E+02	-2.59160373E+01	
1.70000000E+02	-2.66204695E+01	
1.72500000E+02	-2.00914920E+01	
1.75000000E+02	-1.50269398E+01	
1.77500000E+02	-1.23199408E+01	
1.80000000E+02	-1.14646692E+01	
