Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.41865899E+01	
2.50000000E+00	2.33131948E+01	
5.00000000E+00	2.05640101E+01	
7.50000000E+00	1.53775996E+01	
1.00000000E+01	7.65402562E+00	
1.25000000E+01	7.50034624E+00	
1.50000000E+01	8.50821613E+00	
1.75000000E+01	6.83768409E+00	
2.00000000E+01	4.67635249E+00	
2.25000000E+01	2.94875347E+00	
2.50000000E+01	-2.67733106E-01	
2.75000000E+01	-1.37905588E+00	
3.00000000E+01	2.62372737E+00	
3.25000000E+01	4.51824442E+00	
3.50000000E+01	4.04844653E+00	
3.75000000E+01	1.89276397E+00	
4.00000000E+01	4.43116807E-02	
4.25000000E+01	4.97955352E-01	
4.50000000E+01	9.20959860E-01	
4.75000000E+01	-3.83216796E-01	
5.00000000E+01	-4.42605801E+00	
5.25000000E+01	-1.57907373E+01	
5.50000000E+01	-9.13547298E+00	
5.75000000E+01	-2.93020959E+00	
6.00000000E+01	-4.12769108E-01	
6.25000000E+01	5.11877834E-01	
6.50000000E+01	4.74981784E-01	
6.75000000E+01	-2.33244739E-01	
7.00000000E+01	-1.44386966E+00	
7.25000000E+01	-3.03825081E+00	
7.50000000E+01	-4.91446138E+00	
7.75000000E+01	-6.96462197E+00	
8.00000000E+01	-9.05838575E+00	
8.25000000E+01	-1.10407347E+01	
8.50000000E+01	-1.27593969E+01	
8.75000000E+01	-1.41204988E+01	
9.00000000E+01	-1.51310129E+01	
9.25000000E+01	-1.58848627E+01	
9.50000000E+01	-1.65069211E+01	
9.75000000E+01	-1.71001430E+01	
1.00000000E+02	-1.77192626E+01	
1.02500000E+02	-1.83722294E+01	
1.05000000E+02	-1.90431690E+01	
1.07500000E+02	-1.97210377E+01	
1.10000000E+02	-2.04111050E+01	
1.12500000E+02	-2.11294651E+01	
1.15000000E+02	-2.19127612E+01	
1.17500000E+02	-2.28417195E+01	
1.20000000E+02	-2.39886515E+01	
1.22500000E+02	-2.51959851E+01	
1.25000000E+02	-2.59179819E+01	
1.27500000E+02	-2.59294730E+01	
1.30000000E+02	-2.58694282E+01	
1.32500000E+02	-2.61324632E+01	
1.35000000E+02	-2.63051956E+01	
1.37500000E+02	-2.62031896E+01	
1.40000000E+02	-2.66963644E+01	
1.42500000E+02	-2.86079037E+01	
1.45000000E+02	-3.15325497E+01	
1.47500000E+02	-3.27047089E+01	
1.50000000E+02	-3.14103284E+01	
1.52500000E+02	-2.91739862E+01	
1.55000000E+02	-2.78093607E+01	
1.57500000E+02	-2.88909384E+01	
1.60000000E+02	-3.24336088E+01	
1.62500000E+02	-3.27737130E+01	
1.65000000E+02	-3.32584329E+01	
1.67500000E+02	-3.92319873E+01	
1.70000000E+02	-2.86365043E+01	
1.72500000E+02	-2.36557727E+01	
1.75000000E+02	-2.20243269E+01	
1.77500000E+02	-2.19722335E+01	
1.80000000E+02	-2.21941642E+01	
