Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.61846916E+01	
2.50000000E+00	2.50894772E+01	
5.00000000E+00	2.15502244E+01	
7.50000000E+00	1.45713999E+01	
1.00000000E+01	7.46524665E+00	
1.25000000E+01	9.33600494E+00	
1.50000000E+01	6.00722410E+00	
1.75000000E+01	-9.89642925E+00	
2.00000000E+01	-6.48951445E-01	
2.25000000E+01	2.05579866E-01	
2.50000000E+01	-7.29263822E+00	
2.75000000E+01	-7.17364290E+00	
3.00000000E+01	-2.91721825E+00	
3.25000000E+01	-4.84352516E+00	
3.50000000E+01	-1.33906596E+01	
3.75000000E+01	-1.52541325E+01	
4.00000000E+01	-8.46564937E+00	
4.25000000E+01	-6.02328362E+00	
4.50000000E+01	-4.42315561E+00	
4.75000000E+01	-3.20271922E+00	
5.00000000E+01	-2.40349812E+00	
5.25000000E+01	-1.99186074E+00	
5.50000000E+01	-1.98816528E+00	
5.75000000E+01	-2.48237380E+00	
6.00000000E+01	-3.49802085E+00	
6.25000000E+01	-4.80594111E+00	
6.50000000E+01	-5.74720428E+00	
6.75000000E+01	-5.68044551E+00	
7.00000000E+01	-4.91241333E+00	
7.25000000E+01	-4.13603657E+00	
7.50000000E+01	-3.67822544E+00	
7.75000000E+01	-3.58670868E+00	
8.00000000E+01	-3.81030089E+00	
8.25000000E+01	-4.27388568E+00	
8.50000000E+01	-4.90463544E+00	
8.75000000E+01	-5.64415056E+00	
9.00000000E+01	-6.45589414E+00	
9.25000000E+01	-7.32792656E+00	
9.50000000E+01	-8.26971202E+00	
9.75000000E+01	-9.30304088E+00	
1.00000000E+02	-1.04462124E+01	
1.02500000E+02	-1.16871324E+01	
1.05000000E+02	-1.29432530E+01	
1.07500000E+02	-1.40376813E+01	
1.10000000E+02	-1.47811464E+01	
1.12500000E+02	-1.51633379E+01	
1.15000000E+02	-1.53890816E+01	
1.17500000E+02	-1.56856359E+01	
1.20000000E+02	-1.61668705E+01	
1.22500000E+02	-1.68398968E+01	
1.25000000E+02	-1.76574124E+01	
1.27500000E+02	-1.86043570E+01	
1.30000000E+02	-1.98604787E+01	
1.32500000E+02	-2.17894432E+01	
1.35000000E+02	-2.39427229E+01	
1.37500000E+02	-2.37562623E+01	
1.40000000E+02	-2.24160222E+01	
1.42500000E+02	-2.24577681E+01	
1.45000000E+02	-2.29808892E+01	
1.47500000E+02	-2.24294447E+01	
1.50000000E+02	-2.31856902E+01	
1.52500000E+02	-2.79325586E+01	
1.55000000E+02	-3.00547857E+01	
1.57500000E+02	-2.68865532E+01	
1.60000000E+02	-2.82252848E+01	
1.62500000E+02	-2.57659127E+01	
1.65000000E+02	-2.44001518E+01	
1.67500000E+02	-3.08606196E+01	
1.70000000E+02	-3.11320535E+01	
1.72500000E+02	-2.62343112E+01	
1.75000000E+02	-3.48584525E+01	
1.77500000E+02	-2.61042925E+01	
1.80000000E+02	-2.19143436E+01	
