Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	7.28807824E+00	
2.50000000E+00	7.11488184E+00	
5.00000000E+00	6.71762659E+00	
7.50000000E+00	6.44622143E+00	
1.00000000E+01	6.62346626E+00	
1.25000000E+01	7.17523200E+00	
1.50000000E+01	7.75242631E+00	
1.75000000E+01	8.10735408E+00	
2.00000000E+01	8.19673000E+00	
2.25000000E+01	8.12267762E+00	
2.50000000E+01	8.04191086E+00	
2.75000000E+01	8.04855840E+00	
3.00000000E+01	8.09766990E+00	
3.25000000E+01	8.04900803E+00	
3.50000000E+01	7.76381589E+00	
3.75000000E+01	7.15855123E+00	
4.00000000E+01	6.22191090E+00	
4.25000000E+01	5.04457169E+00	
4.50000000E+01	3.88386620E+00	
4.75000000E+01	3.16177797E+00	
5.00000000E+01	3.15685932E+00	
5.25000000E+01	3.67978420E+00	
5.50000000E+01	4.33659451E+00	
5.75000000E+01	4.87202402E+00	
6.00000000E+01	5.19147945E+00	
6.25000000E+01	5.28218114E+00	
6.50000000E+01	5.16233608E+00	
6.75000000E+01	4.85928756E+00	
7.00000000E+01	4.40134439E+00	
7.25000000E+01	3.81499462E+00	
7.50000000E+01	3.12409757E+00	
7.75000000E+01	2.34975719E+00	
8.00000000E+01	1.51040238E+00	
8.25000000E+01	6.21918304E-01	
8.50000000E+01	-3.02198420E-01	
8.75000000E+01	-1.25063089E+00	
9.00000000E+01	-2.21392302E+00	
9.25000000E+01	-3.18399045E+00	
9.50000000E+01	-4.15343103E+00	
9.75000000E+01	-5.11469213E+00	
1.00000000E+02	-6.05931988E+00	
1.02500000E+02	-6.97775016E+00	
1.05000000E+02	-7.86027573E+00	
1.07500000E+02	-8.69963341E+00	
1.10000000E+02	-9.49476050E+00	
1.12500000E+02	-1.02538073E+01	
1.15000000E+02	-1.09935334E+01	
1.17500000E+02	-1.17330747E+01	
1.20000000E+02	-1.24828755E+01	
1.22500000E+02	-1.32335875E+01	
1.25000000E+02	-1.39545915E+01	
1.27500000E+02	-1.46135833E+01	
1.30000000E+02	-1.52143210E+01	
1.32500000E+02	-1.58190147E+01	
1.35000000E+02	-1.65174654E+01	
1.37500000E+02	-1.73424161E+01	
1.40000000E+02	-1.81624924E+01	
1.42500000E+02	-1.86707120E+01	
1.45000000E+02	-1.86976716E+01	
1.47500000E+02	-1.85429485E+01	
1.50000000E+02	-1.87116967E+01	
1.52500000E+02	-1.95361742E+01	
1.55000000E+02	-2.09379177E+01	
1.57500000E+02	-2.18806385E+01	
1.60000000E+02	-2.10978908E+01	
1.62500000E+02	-1.96987235E+01	
1.65000000E+02	-1.91013158E+01	
1.67500000E+02	-1.98462814E+01	
1.70000000E+02	-2.23240080E+01	
1.72500000E+02	-2.68750427E+01	
1.75000000E+02	-2.87501231E+01	
1.77500000E+02	-2.53735805E+01	
1.80000000E+02	-2.40558821E+01	
