Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.32944345E+01	
2.50000000E+00	2.27047716E+01	
5.00000000E+00	2.08964328E+01	
7.50000000E+00	1.77162390E+01	
1.00000000E+01	1.30294301E+01	
1.25000000E+01	8.04141645E+00	
1.50000000E+01	6.29107419E+00	
1.75000000E+01	4.83624446E+00	
2.00000000E+01	-1.12759809E-01	
2.25000000E+01	-1.39533787E+01	
2.50000000E+01	-2.68615812E+00	
2.75000000E+01	2.30162716E-01	
3.00000000E+01	-6.38630099E-01	
3.25000000E+01	-2.67057326E+00	
3.50000000E+01	-1.44835568E+00	
3.75000000E+01	7.98969923E-01	
4.00000000E+01	1.43991168E+00	
4.25000000E+01	2.02243229E-01	
4.50000000E+01	-3.25209351E+00	
4.75000000E+01	-8.82345551E+00	
5.00000000E+01	-6.44364702E+00	
5.25000000E+01	-2.00608135E+00	
5.50000000E+01	2.70514189E-01	
5.75000000E+01	1.19398623E+00	
6.00000000E+01	1.22035682E+00	
6.25000000E+01	5.90443022E-01	
6.50000000E+01	-5.49094551E-01	
6.75000000E+01	-2.09331865E+00	
7.00000000E+01	-3.94995578E+00	
7.25000000E+01	-6.01528807E+00	
7.50000000E+01	-8.14909846E+00	
7.75000000E+01	-1.01602922E+01	
8.00000000E+01	-1.18431519E+01	
8.25000000E+01	-1.30856725E+01	
8.50000000E+01	-1.39477920E+01	
8.75000000E+01	-1.45965800E+01	
9.00000000E+01	-1.51879256E+01	
9.25000000E+01	-1.58139215E+01	
9.50000000E+01	-1.65075565E+01	
9.75000000E+01	-1.72622382E+01	
1.00000000E+02	-1.80492129E+01	
1.02500000E+02	-1.88300527E+01	
1.05000000E+02	-1.95627805E+01	
1.07500000E+02	-2.02042756E+01	
1.10000000E+02	-2.07224498E+01	
1.12500000E+02	-2.11294704E+01	
1.15000000E+02	-2.15128463E+01	
1.17500000E+02	-2.20178979E+01	
1.20000000E+02	-2.27709882E+01	
1.22500000E+02	-2.37614433E+01	
1.25000000E+02	-2.47257937E+01	
1.27500000E+02	-2.53087115E+01	
1.30000000E+02	-2.56464183E+01	
1.32500000E+02	-2.63721291E+01	
1.35000000E+02	-2.79233375E+01	
1.37500000E+02	-2.97899104E+01	
1.40000000E+02	-3.02744247E+01	
1.42500000E+02	-2.98189185E+01	
1.45000000E+02	-3.00895684E+01	
1.47500000E+02	-3.06689396E+01	
1.50000000E+02	-3.03143568E+01	
1.52500000E+02	-3.01565966E+01	
1.55000000E+02	-3.15900175E+01	
1.57500000E+02	-3.37596026E+01	
1.60000000E+02	-3.44286464E+01	
1.62500000E+02	-3.62668310E+01	
1.65000000E+02	-3.68217805E+01	
1.67500000E+02	-3.16967826E+01	
1.70000000E+02	-3.03474568E+01	
1.72500000E+02	-3.50187649E+01	
1.75000000E+02	-3.54977686E+01	
1.77500000E+02	-2.72794032E+01	
1.80000000E+02	-2.52394963E+01	
