Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.47905585E+01	
2.50000000E+00	2.36172149E+01	
5.00000000E+00	1.99248688E+01	
7.50000000E+00	1.36063803E+01	
1.00000000E+01	7.89359769E+00	
1.25000000E+01	4.41053060E+00	
1.50000000E+01	5.06139761E+00	
1.75000000E+01	8.27060174E+00	
2.00000000E+01	6.94973961E+00	
2.25000000E+01	-1.31147145E+00	
2.50000000E+01	-5.17351185E+00	
2.75000000E+01	-2.88422435E-01	
3.00000000E+01	-7.51824758E+00	
3.25000000E+01	-2.03314885E+00	
3.50000000E+01	4.40435775E+00	
3.75000000E+01	5.60143941E+00	
4.00000000E+01	3.47696586E+00	
4.25000000E+01	-3.02129445E+00	
4.50000000E+01	-1.82761220E+01	
4.75000000E+01	-4.58584751E+00	
5.00000000E+01	-3.21054982E+00	
5.25000000E+01	-5.89757888E+00	
5.50000000E+01	-5.42863219E+00	
5.75000000E+01	-3.30551503E-03	
6.00000000E+01	3.43802704E+00	
6.25000000E+01	5.25311723E+00	
6.50000000E+01	5.99720575E+00	
6.75000000E+01	5.98836633E+00	
7.00000000E+01	5.42997370E+00	
7.25000000E+01	4.47169216E+00	
7.50000000E+01	3.23683772E+00	
7.75000000E+01	1.83389376E+00	
8.00000000E+01	3.59088166E-01	
8.25000000E+01	-1.10653328E+00	
8.50000000E+01	-2.50248092E+00	
8.75000000E+01	-3.79342830E+00	
9.00000000E+01	-4.97063726E+00	
9.25000000E+01	-6.04942977E+00	
9.50000000E+01	-7.06323684E+00	
9.75000000E+01	-8.05526255E+00	
1.00000000E+02	-9.06888005E+00	
1.02500000E+02	-1.01370964E+01	
1.05000000E+02	-1.12690592E+01	
1.07500000E+02	-1.24306310E+01	
1.10000000E+02	-1.35287606E+01	
1.12500000E+02	-1.44452420E+01	
1.15000000E+02	-1.51559993E+01	
1.17500000E+02	-1.58141726E+01	
1.20000000E+02	-1.66347031E+01	
1.22500000E+02	-1.76710692E+01	
1.25000000E+02	-1.86616695E+01	
1.27500000E+02	-1.91918972E+01	
1.30000000E+02	-1.92676810E+01	
1.32500000E+02	-1.94096637E+01	
1.35000000E+02	-2.00974288E+01	
1.37500000E+02	-2.12657434E+01	
1.40000000E+02	-2.21256233E+01	
1.42500000E+02	-2.26357882E+01	
1.45000000E+02	-2.34872272E+01	
1.47500000E+02	-2.31774380E+01	
1.50000000E+02	-2.20274453E+01	
1.52500000E+02	-2.26810912E+01	
1.55000000E+02	-2.45272534E+01	
1.57500000E+02	-2.51873577E+01	
1.60000000E+02	-2.73931116E+01	
1.62500000E+02	-2.58015551E+01	
1.65000000E+02	-2.27530769E+01	
1.67500000E+02	-2.44999431E+01	
1.70000000E+02	-2.63723620E+01	
1.72500000E+02	-2.62798536E+01	
1.75000000E+02	-3.08674040E+01	
1.77500000E+02	-1.99074160E+01	
1.80000000E+02	-1.70007088E+01	
