Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	1.45041033E+01	
2.50000000E+00	1.43648380E+01	
5.00000000E+00	1.39513631E+01	
7.50000000E+00	1.32756101E+01	
1.00000000E+01	1.23622275E+01	
1.25000000E+01	1.12551433E+01	
1.50000000E+01	1.00229102E+01	
1.75000000E+01	8.75328336E+00	
2.00000000E+01	7.52467193E+00	
2.25000000E+01	6.35970527E+00	
2.50000000E+01	5.19847177E+00	
2.75000000E+01	3.92132478E+00	
3.00000000E+01	2.40412026E+00	
3.25000000E+01	5.96703797E-01	
3.50000000E+01	-1.28938300E+00	
3.75000000E+01	-2.43806240E+00	
4.00000000E+01	-1.97084272E+00	
4.25000000E+01	-4.60360328E-01	
4.50000000E+01	1.11222741E+00	
4.75000000E+01	2.37603594E+00	
5.00000000E+01	3.28561640E+00	
5.25000000E+01	3.87894258E+00	
5.50000000E+01	4.20502113E+00	
5.75000000E+01	4.30773756E+00	
6.00000000E+01	4.22379462E+00	
6.25000000E+01	3.98368586E+00	
6.50000000E+01	3.61301538E+00	
6.75000000E+01	3.13358462E+00	
7.00000000E+01	2.56418549E+00	
7.25000000E+01	1.92115298E+00	
7.50000000E+01	1.21874228E+00	
7.75000000E+01	4.69386247E-01	
8.00000000E+01	-3.16121239E-01	
8.25000000E+01	-1.12847773E+00	
8.50000000E+01	-1.95972710E+00	
8.75000000E+01	-2.80308718E+00	
9.00000000E+01	-3.65272708E+00	
9.25000000E+01	-4.50348477E+00	
9.50000000E+01	-5.35054210E+00	
9.75000000E+01	-6.18911879E+00	
1.00000000E+02	-7.01430737E+00	
1.02500000E+02	-7.82122793E+00	
1.05000000E+02	-8.60568833E+00	
1.07500000E+02	-9.36541662E+00	
1.10000000E+02	-1.01016328E+01	
1.12500000E+02	-1.08202960E+01	
1.15000000E+02	-1.15320067E+01	
1.17500000E+02	-1.22495121E+01	
1.20000000E+02	-1.29821522E+01	
1.22500000E+02	-1.37274400E+01	
1.25000000E+02	-1.44618879E+01	
1.27500000E+02	-1.51375090E+01	
1.30000000E+02	-1.56956656E+01	
1.32500000E+02	-1.61043863E+01	
1.35000000E+02	-1.63977463E+01	
1.37500000E+02	-1.66780720E+01	
1.40000000E+02	-1.70760728E+01	
1.42500000E+02	-1.77000993E+01	
1.45000000E+02	-1.85826186E+01	
1.47500000E+02	-1.95891506E+01	
1.50000000E+02	-2.03071725E+01	
1.52500000E+02	-2.02551008E+01	
1.55000000E+02	-1.95308091E+01	
1.57500000E+02	-1.87254291E+01	
1.60000000E+02	-1.83033226E+01	
1.62500000E+02	-1.85014515E+01	
1.65000000E+02	-1.94754573E+01	
1.67500000E+02	-2.14208229E+01	
1.70000000E+02	-2.46928655E+01	
1.72500000E+02	-2.99273547E+01	
1.75000000E+02	-3.51666003E+01	
1.77500000E+02	-3.25837123E+01	
1.80000000E+02	-3.10769152E+01	
