Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.72034406E+01	
2.50000000E+00	2.54578191E+01	
5.00000000E+00	1.97298838E+01	
7.50000000E+00	1.30390052E+01	
1.00000000E+01	1.30661188E+01	
1.25000000E+01	6.19269517E+00	
1.50000000E+01	4.65686912E+00	
1.75000000E+01	6.85567568E+00	
2.00000000E+01	-4.23797886E+00	
2.25000000E+01	1.52613490E+00	
2.50000000E+01	3.69756926E+00	
2.75000000E+01	-1.89157073E+00	
3.00000000E+01	2.66470551E-01	
3.25000000E+01	1.64003186E+00	
3.50000000E+01	-2.75602636E+00	
3.75000000E+01	-1.14492312E+00	
4.00000000E+01	2.80015906E+00	
4.25000000E+01	3.06756964E+00	
4.50000000E+01	9.65602025E-01	
4.75000000E+01	-1.95426193E+00	
5.00000000E+01	-3.05382976E+00	
5.25000000E+01	-1.53603431E+00	
5.50000000E+01	7.59020989E-01	
5.75000000E+01	2.47913750E+00	
6.00000000E+01	3.23874799E+00	
6.25000000E+01	3.07421509E+00	
6.50000000E+01	2.15764488E+00	
6.75000000E+01	7.47907477E-01	
7.00000000E+01	-7.86331405E-01	
7.25000000E+01	-2.04307677E+00	
7.50000000E+01	-2.85161170E+00	
7.75000000E+01	-3.37801592E+00	
8.00000000E+01	-3.87428214E+00	
8.25000000E+01	-4.48106058E+00	
8.50000000E+01	-5.22674410E+00	
8.75000000E+01	-6.08324469E+00	
9.00000000E+01	-7.01047450E+00	
9.25000000E+01	-7.98286882E+00	
9.50000000E+01	-8.99749779E+00	
9.75000000E+01	-1.00639014E+01	
1.00000000E+02	-1.11833022E+01	
1.02500000E+02	-1.23331349E+01	
1.05000000E+02	-1.34728802E+01	
1.07500000E+02	-1.45633397E+01	
1.10000000E+02	-1.55582030E+01	
1.12500000E+02	-1.63828102E+01	
1.15000000E+02	-1.70307793E+01	
1.17500000E+02	-1.77059662E+01	
1.20000000E+02	-1.86351429E+01	
1.22500000E+02	-1.96341212E+01	
1.25000000E+02	-2.02609409E+01	
1.27500000E+02	-2.08046503E+01	
1.30000000E+02	-2.17118230E+01	
1.32500000E+02	-2.23713741E+01	
1.35000000E+02	-2.28284778E+01	
1.37500000E+02	-2.41421258E+01	
1.40000000E+02	-2.47522185E+01	
1.42500000E+02	-2.41528779E+01	
1.45000000E+02	-2.47348318E+01	
1.47500000E+02	-2.50827916E+01	
1.50000000E+02	-2.62613257E+01	
1.52500000E+02	-3.05587569E+01	
1.55000000E+02	-2.83926879E+01	
1.57500000E+02	-2.82421724E+01	
1.60000000E+02	-2.77646910E+01	
1.62500000E+02	-2.69719858E+01	
1.65000000E+02	-3.52566299E+01	
1.67500000E+02	-3.21995571E+01	
1.70000000E+02	-3.68178087E+01	
1.72500000E+02	-2.98917643E+01	
1.75000000E+02	-2.41701475E+01	
1.77500000E+02	-2.38543968E+01	
1.80000000E+02	-2.37735889E+01	
