Far field
"Theta"[deg]	"FarField1_1 [dBi]"	
0.00000000E+00	2.40554860E+01	
2.50000000E+00	2.32217086E+01	
5.00000000E+00	2.10151438E+01	
7.50000000E+00	1.77674182E+01	
1.00000000E+01	1.26534879E+01	
1.25000000E+01	9.44410741E+00	
1.50000000E+01	9.58582663E+00	
1.75000000E+01	1.62561222E+00	
2.00000000E+01	3.83094212E+00	
2.25000000E+01	8.47353383E+00	
2.50000000E+01	4.13303803E+00	
2.75000000E+01	-6.84550543E+00	
3.00000000E+01	4.16080746E+00	
3.25000000E+01	2.06853649E+00	
3.50000000E+01	-1.26900110E+01	
3.75000000E+01	2.43023632E+00	
4.00000000E+01	4.55241283E+00	
4.25000000E+01	1.73639182E+00	
4.50000000E+01	-6.43261560E+00	
4.75000000E+01	-4.64909800E+00	
5.00000000E+01	-1.05317803E+00	
5.25000000E+01	-1.68175724E+00	
5.50000000E+01	-5.80875468E+00	
5.75000000E+01	-6.61085230E+00	
6.00000000E+01	-2.66826865E-01	
6.25000000E+01	3.53096545E+00	
6.50000000E+01	5.57176584E+00	
6.75000000E+01	6.51597319E+00	
7.00000000E+01	6.71122826E+00	
7.25000000E+01	6.37757704E+00	
7.50000000E+01	5.67411140E+00	
7.75000000E+01	4.72302962E+00	
8.00000000E+01	3.61891864E+00	
8.25000000E+01	2.43330431E+00	
8.50000000E+01	1.21712195E+00	
8.75000000E+01	3.03976446E-04	
9.00000000E+01	-1.21134621E+00	
9.25000000E+01	-2.43671015E+00	
9.50000000E+01	-3.70766955E+00	
9.75000000E+01	-5.03806591E+00	
1.00000000E+02	-6.37909854E+00	
1.02500000E+02	-7.59987135E+00	
1.05000000E+02	-8.57103031E+00	
1.07500000E+02	-9.33128337E+00	
1.10000000E+02	-1.01096297E+01	
1.12500000E+02	-1.11480319E+01	
1.15000000E+02	-1.25016140E+01	
1.17500000E+02	-1.38157786E+01	
1.20000000E+02	-1.44064533E+01	
1.22500000E+02	-1.43659838E+01	
1.25000000E+02	-1.45898690E+01	
1.27500000E+02	-1.52990043E+01	
1.30000000E+02	-1.57195766E+01	
1.32500000E+02	-1.58800912E+01	
1.35000000E+02	-1.69593322E+01	
1.37500000E+02	-1.84776155E+01	
1.40000000E+02	-1.86232566E+01	
1.42500000E+02	-1.91636573E+01	
1.45000000E+02	-1.97667430E+01	
1.47500000E+02	-1.87039755E+01	
1.50000000E+02	-1.92791842E+01	
1.52500000E+02	-2.09907813E+01	
1.55000000E+02	-2.18151585E+01	
1.57500000E+02	-2.46941316E+01	
1.60000000E+02	-2.29635000E+01	
1.62500000E+02	-2.26031672E+01	
1.65000000E+02	-2.39255335E+01	
1.67500000E+02	-2.18942417E+01	
1.70000000E+02	-2.76621174E+01	
1.72500000E+02	-2.77525748E+01	
1.75000000E+02	-2.30348188E+01	
1.77500000E+02	-2.72026018E+01	
1.80000000E+02	-2.98909751E+01	
